,percent_dem,percent_gop,state_abbr,GeoName
2731,0.228537943,0.744506299,TX,Ward County
2732,0.22926697,0.742117041,TX,Washington County
2733,0.743788137,0.227654,TX,Webb County
2734,0.2881621,0.690079554,TX,Wharton County
2735,0.084128361,0.905030356,TX,Wheeler County
2736,0.230844301,0.728219872,TX,Wichita County
2737,0.196781273,0.772006828,TX,Wilbarger County
2738,0.672176309,0.303227076,TX,Willacy County
2739,0.420159183,0.518785781,TX,Williamson County
2740,0.248766554,0.726616463,TX,Wilson County
2741,0.224239188,0.74906567,TX,Winkler County
2742,0.138356109,0.837557277,TX,Wise County
2743,0.140727234,0.840984662,TX,Wood County
2744,0.185297956,0.781644193,TX,Yoakum County
2745,0.113998433,0.860146252,TX,Young County
2746,0.656030632,0.328015316,TX,Zapata County
2747,0.776696165,0.204129794,TX,Zavala County
2748,0.106024096,0.73815261,UT,Beaver County
2749,0.109620498,0.62388204,UT,Box Elder County
2750,0.186878118,0.463864656,UT,Cache County
2751,0.216935278,0.662829368,UT,Carbon County
2752,0.16344086,0.703225806,UT,Daggett County
2753,0.215696391,0.448925579,UT,Davis County
2754,0.072129256,0.794143104,UT,Duchesne County
2755,0.088904527,0.798029557,UT,Emery County
2756,0.153443766,0.68744551,UT,Garfield County
2757,0.433572711,0.434021544,UT,Grand County
2758,0.137032695,0.652924319,UT,Iron County
2759,0.106967615,0.676889107,UT,Juab County
2760,0.212234348,0.645605974,UT,Kane County
2761,0.082346198,0.737485671,UT,Millard County
2762,0.111370717,0.614485981,UT,Morgan County
2763,0.050243112,0.870340357,UT,Piute County
2764,0.094890511,0.717153285,UT,Rich County
2765,0.428482871,0.32628194,UT,Salt Lake County
2766,0.37084494,0.489322191,UT,San Juan County
2767,0.104929433,0.658212313,UT,Sanpete County
2768,0.081006259,0.776961964,UT,Sevier County
2769,0.509164059,0.355635027,UT,Summit County
2770,0.212377678,0.512721502,UT,Tooele County
2771,0.077776915,0.766591632,UT,Uintah County
2772,0.140497994,0.513055756,UT,Utah County
2773,0.252722772,0.504537954,UT,Wasatch County
2774,0.166678262,0.688176158,UT,Washington County
